,FrameId,x,y,z,Area,Surfaced
0,258.0,35.78614133050967,-15.295922858288751,17.460558436400927,1503.5,0.0
1,259.0,36.58794378613627,-15.317547192966112,17.494733034021955,1552.5,0.0
2,260.0,37.3830725324432,-15.307431040903554,16.765082516087194,1366.5,0.0
3,261.0,38.13502910763413,-15.283494312288392,17.374274468165062,1440.5,0.0
4,262.0,38.93948657147576,-15.264355834878408,17.44074811859243,1403.0,0.0
5,264.0,40.46520862766993,-15.235714738240981,16.874102906638,1297.5,0.0
6,284.0,56.17349095996372,-15.414190996217071,16.901189161537356,1640.5,0.0
7,285.0,56.939451959190144,-15.360677514911966,16.44581747777932,1640.0,0.0
8,286.0,57.66050798093947,-15.388180004340683,16.253093275005504,1757.5,0.0
9,288.0,59.126678750753115,-15.383873176493204,17.137117547433512,1624.0,0.0
10,289.0,59.97986498976194,-15.454761306519455,17.186309875882706,1822.0,0.0
11,292.0,62.13454363674424,-15.428076764126793,18.469676439398015,1812.5,0.0
12,293.0,62.90706422170371,-15.460890486230248,18.0801353287415,1735.5,0.0
13,294.0,63.73407750571792,-15.450626829462234,17.444354947862074,1634.5,0.0
14,295.0,64.54524048726161,-15.475536146579124,17.312153312123108,1685.5,0.0
15,297.0,66.1933081919165,-15.493141442736363,16.575509430494414,1641.5,0.0
16,412.0,35.2908203340513,-8.960962056706428,39.39438796056679,1527.0,1.0
17,413.0,36.019555899033435,-8.980360936683411,39.39088332918028,1546.0,1.0
18,414.0,36.80375721876529,-9.007842742958253,39.57711230730743,1626.5,1.0
19,415.0,37.53329292824842,-8.9911718163521,39.590509021978846,1569.5,1.0
20,433.0,50.245711928557704,-9.136547381772697,39.52044483027044,1158.5,1.0
21,435.0,51.668382379289085,-9.14126698288872,39.252148728231646,1234.5,1.0
22,437.0,53.17735829689447,-9.108105069680924,39.40836978381944,1236.5,1.0
23,439.0,54.60508515555723,-9.113396831914304,39.205259986818284,1403.0,1.0
24,440.0,55.33845272708991,-9.0991438012888,39.42187668078269,1450.0,1.0
25,442.0,56.80557066813311,-9.065333042681495,39.46772327793577,1547.5,1.0
26,443.0,57.50425523837777,-9.081560079372068,39.100612193163855,1570.5,1.0
27,444.0,58.2434012348369,-9.103342115016872,38.93253313630868,1516.5,1.0
28,445.0,58.9000303486606,-9.086085921894295,38.79429587714316,1389.0,1.0
29,955.0,34.56443610478449,-9.96514182228578,32.163995370762954,1339.0,1.0
30,956.0,35.23604309589621,-9.98755373722323,32.21074822011507,1260.0,1.0
31,957.0,36.011497095823586,-9.97322519914465,31.969798720843166,1375.5,1.0
32,958.0,36.71706045214784,-10.00006727292855,32.47384991089646,1245.0,1.0
33,959.0,37.44478362211368,-9.986082476135365,32.74038924818486,1294.5,1.0
34,960.0,38.09135042389257,-9.974577182708575,33.05862496914817,1242.5,1.0
35,961.0,38.81747108824334,-9.998328975563972,33.33698364321857,1176.5,1.0
36,963.0,40.32267642413687,-9.875478833868854,32.764573004027525,1111.0,1.0
37,964.0,41.04877265859507,-9.86206926934372,33.06860296941162,1161.0,1.0
38,965.0,41.80298074694485,-9.845347332263117,33.14092480456547,1144.5,1.0
39,966.0,42.557382805319605,-9.828720443802492,33.221794135349015,1088.5,1.0
40,967.0,43.292094955023856,-9.807632616823785,32.87449753081612,1240.5,1.0
41,968.0,44.01725491504025,-9.837950717090465,33.20527160867741,1340.0,1.0
42,969.0,44.8218529714272,-9.822633460585546,33.510846936300226,1289.5,1.0
43,970.0,45.57767874196315,-9.887372973894493,33.62122021784343,1395.0,1.0
44,971.0,46.317552463152055,-9.866709728473339,33.31011852810749,1435.0,1.0
45,972.0,47.03848714751044,-9.891883518003873,33.67640680467714,1508.0,1.0
46,973.0,47.79250378920563,-9.87584494803344,33.81633173198782,1570.0,1.0
47,974.0,48.5476480671015,-9.940816172462753,33.960193495864814,1601.5,1.0
48,975.0,49.30061385604571,-9.924924101246031,34.11685147657728,1626.5,1.0
49,976.0,50.04602386788773,-9.942955434233298,33.85155505864977,1677.0,1.0
50,977.0,50.8457352317013,-10.013676655368254,34.21612889386427,1822.5,1.0
51,978.0,51.67563012365052,-9.991602296851742,33.9404570722073,1843.5,1.0
52,979.0,52.4693976500958,-10.053692521007036,33.8996725477611,1847.5,1.0
53,980.0,53.26753145728198,-10.161809223823777,34.730382207996314,1905.5,1.0
54,981.0,54.017057332280274,-10.184885376113996,34.505221699378104,2023.0,1.0
55,982.0,54.64133401583292,-10.170648410100782,34.54341013151662,2036.0,1.0
56,983.0,55.34671104470372,-10.158115758403731,34.993778085371225,2149.0,1.0
57,984.0,56.18237531922193,-10.129036460272033,34.35622176713527,1965.5,1.0
58,985.0,56.852919219145065,-10.192874804572966,34.18558986696425,1955.0,1.0
59,986.0,57.61237067250326,-10.170117556793869,33.574385030832254,1977.5,1.0
60,987.0,58.512889691556744,-10.12345682576342,34.650629357361,1945.0,1.0
61,988.0,59.220822546588344,-10.149560380265463,34.70902567507239,2063.0,1.0
62,989.0,60.10475139902856,-10.125565980367078,34.318447016369866,1979.5,1.0
63,990.0,60.90738679031224,-10.103690983188699,33.95339388054367,2149.5,1.0
64,991.0,61.61468869000917,-10.087851484215406,34.04363792324567,2156.0,1.0
65,992.0,62.40682083677806,-10.11201495832286,34.122543678700055,2206.0,1.0
66,993.0,63.114215791551366,-10.138225764967551,34.22369541074892,2259.0,1.0
67,994.0,63.85232495154125,-10.12339342931218,34.54741722596143,2354.0,1.0
68,995.0,64.60687582852529,-10.104819081489453,34.449168561934215,2396.0,1.0
