,FrameIDSync,centre_x,centre_y,mainAx_x,mainAx_y,Area,rot1,rot2,rot3,trans1,trans2,trans3,Surfaced
0,0.0,,,,,,-3.116260221109891,0.023110789754350797,0.3671946322770372,-49.468550350851935,-11.580031886101311,202.8630155377824,0
1,1.0,,,,,,-3.1084794621233116,0.024895771787122833,0.36370483362612543,-49.585541151585524,-11.898294271983726,202.6682048708331,0
2,2.0,,,,,,-3.108410349218166,0.024713611869432182,0.36723173017147,-49.48460083113625,-11.887739587857933,202.69899012212102,0
3,3.0,,,,,,-3.1111964966971826,0.02456411597232642,0.3683426278388631,-49.4549321857372,-11.760643296037275,202.74127040380242,0
4,4.0,,,,,,-3.108410349218166,0.024713611869432182,0.36723173017147,-49.48460083113625,-11.887739587857933,202.69899012212102,0
5,5.0,,,,,,-3.111160557091911,0.02434982874280685,0.36643011812387544,-49.507602890004634,-11.772888601335035,202.7306023244772,0
6,6.0,,,,,,-3.1124406792157964,0.02402954754092065,0.36861436583938856,-49.43083555761748,-11.716574194664107,202.82324179226634,0
7,7.0,,,,,,-3.1104210348239314,0.02421305687337643,0.36793248235396714,-49.45541055065157,-11.811343364890739,202.757758234797,0
8,8.0,,,,,,-3.106238830276508,0.02545587503135926,0.3690911957351632,-49.44592918323669,-11.958690828190596,202.63533516607495,0
9,9.0,,,,,,-3.106515453069061,0.025092996609394902,0.3659346865388812,-49.533183288691056,-11.964242266434246,202.64896184384446,0
10,10.0,,,,,,-3.1084597628031636,0.024767700638577667,0.3691520623515245,-49.42962126356232,-11.883911475365105,202.7064469969174,0
11,11.0,,,,,,-3.11695846903146,0.02293848792392171,0.3657061384723225,-49.516374455667346,-11.561134651415308,202.82796762133836,0
12,12.0,,,,,,-3.1146255630333637,0.023602827725118562,0.3678804886594304,-49.45092925826447,-11.63290033823431,202.84690683406689,0
13,13.0,,,,,,-3.111160557091911,0.02434982874280685,0.36643011812387544,-49.507602890004634,-11.772888601335035,202.7306023244772,0
14,14.0,,,,,,-3.1125106534873557,0.02408101263759232,0.3672314930605396,-49.474636730996096,-11.71582426718235,202.77229751352417,0
15,15.0,,,,,,-3.1110565502421004,0.024326595063476793,0.3664934498801838,-49.50187952724193,-11.779159436330374,202.71446099859034,0
16,16.0,,,,,,-3.112655538649793,0.02428811186240875,0.36790357784778593,-49.4514814375878,-11.69259274077768,202.84191424962137,0
17,17.0,,,,,,-3.1102911345693065,0.0246709844458017,0.3678858312007442,-49.448555646062175,-11.793153147562363,202.73430217702747,0
18,18.0,,,,,,-3.113481733965633,0.024132786102067122,0.36635626149963996,-49.50485986198305,-11.66645847788802,202.82369562324604,0
19,19.0,,,,,,-3.1131673179683466,0.02406399560550877,0.3665694172249864,-49.48703049917741,-11.685270038289374,202.7754169724146,0
20,20.0,,,,,,-3.111250034483483,0.024268158198273354,0.3658014426564064,-49.51793593370801,-11.773948884097747,202.725839368723,0
21,21.0,,,,,,-3.112989660689955,0.024225259511900372,0.3678066933586732,-49.46689535254094,-11.683183462060017,202.78472456065126,0
22,22.0,,,,,,-3.1129778809959805,0.024121029918268103,0.3672585274355957,-49.4710349621784,-11.69032841991254,202.7640790321612,0
23,23.0,,,,,,-3.1129778809959805,0.024121029918268103,0.3672585274355957,-49.4710349621784,-11.69032841991254,202.7640790321612,0
24,24.0,,,,,,-3.1105155290280755,0.024130511268696177,0.36730588283616733,-49.465695919131264,-11.812197363694338,202.75318957242465,0
25,25.0,,,,,,-3.1110565502421004,0.024326595063476793,0.3664934498801838,-49.50187952724193,-11.779159436330374,202.71446099859034,0
26,26.0,,,,,,-3.107893741255108,0.024775233676759698,0.3674043402381416,-49.46296715362195,-11.90253074065278,202.68524026110748,0
27,27.0,,,,,,-3.113032931855494,0.02403314415300981,0.3657554627080361,-49.51704959839676,-11.691662117766622,202.77295217270517,0
28,28.0,,,,,,-3.112473596161797,0.02424238448040153,0.37052211006106844,-49.37821018834265,-11.704426587071191,202.8335048375342,0
29,29.0,,,,,,-3.112123692118183,0.024193214018858326,0.3704668308423488,-49.37903377641967,-11.71912957939161,202.82611138199252,0
30,34.0,,,,,,-3.107996191275904,0.024879470085296423,0.3685929946373841,-49.443477306975495,-11.894208061290621,202.68170015054585,0
31,39.0,,,,,,-3.114969060247639,0.023911433487019323,0.3651220911195295,-49.53148966315675,-11.612137191599894,202.85720008588194,0
32,44.0,,,,,,-3.111160557091911,0.02434982874280685,0.36643011812387544,-49.507602890004634,-11.772888601335035,202.7306023244772,0
