,FrameId,x,y,z,Area,Surfaced
0,57.0,39.8517981270916,-11.815654251562272,-32.906366232171045,12274.5,1.0
1,58.0,40.855337069354526,-11.741245015863527,-31.903259144447965,12320.5,1.0
2,59.0,41.71910822554189,-11.73715406829843,-31.634323430224043,12410.0,1.0
3,60.0,42.7128392631368,-11.72364940571601,-30.74087150639666,12444.0,1.0
4,61.0,44.024696796337615,-11.66229394481303,-28.095413706587557,12487.0,1.0
5,62.0,44.36756887362917,-11.716776024300412,-30.49355753229373,12475.5,1.0
6,63.0,45.35163719732906,-11.654521337870953,-29.550034131211596,12362.0,1.0
7,64.0,46.48982081087043,-11.586905676200153,-26.512025400382342,12066.0,1.0
8,65.0,47.24812021062037,-11.471793362392997,-25.5032502620499,11695.5,1.0
9,66.0,47.86864598632825,-11.36047533402671,-25.844814363851725,11295.5,1.0
10,67.0,48.66667022860424,-11.295671217236471,-25.20579645805748,10806.5,1.0
11,68.0,49.3457185852624,-11.086937578262138,-25.172348131164384,10423.0,1.0
12,69.0,50.08186430333038,-10.926613771278458,-24.817069203127495,10105.5,1.0
13,70.0,50.864895350842,-10.815076274553206,-24.83534850125792,9849.5,1.0
14,71.0,51.759008023266134,-10.800829558896393,-24.20131095968719,9602.0,1.0
15,72.0,52.53550846346852,-10.646682977642172,-24.857260526097676,9307.5,1.0
16,73.0,53.214415596283345,-10.487348576700718,-24.79460533321417,9187.0,1.0
17,74.0,53.94351705705399,-10.331605520781125,-25.7697238521776,9005.5,1.0
18,75.0,55.161812400011364,-10.275551971086813,-30.094457496556743,9137.5,1.0
19,76.0,56.358925500598765,-10.437333982927703,-34.0592150409133,9676.5,1.0
20,77.0,57.28767099690542,-10.494093675440967,-35.406749876801925,10142.5,1.0
21,78.0,58.34490032744751,-10.549913247808814,-37.53964790470384,10583.0,1.0
22,79.0,58.66188275997067,-10.657044335280254,-36.86696715818108,11625.5,1.0
23,80.0,60.17706156783991,-10.705724061140412,-41.90135211306914,11193.0,1.0
24,81.0,60.89978103634249,-10.864917603071678,-44.49360913553457,11512.0,1.0
25,82.0,61.846250846440164,-10.91404142600243,-44.391957017087584,11790.0,1.0
26,83.0,62.83346700226867,-10.96801623332593,-43.82346975566962,12055.5,1.0
27,84.0,63.67957108642087,-10.911920727021304,-42.43589127792147,12431.0,1.0
28,85.0,64.61776104539894,-10.960757701633973,-42.30025398537044,12678.5,1.0
29,86.0,65.60281454721495,-10.904204256320288,-40.55046521425769,12795.5,1.0
30,87.0,66.49390155945072,-10.844113397109481,-40.78334922378755,12772.0,1.0
31,89.0,68.8490527911115,-11.445712922130742,-34.69360610918809,12736.0,1.0
32,90.0,69.8265428707977,-11.491945525132742,-33.752460575208076,12691.5,1.0
33,91.0,70.40862960681592,-11.278711496506244,-29.764881195238168,13232.5,1.0
34,92.0,71.03945836315879,-11.332232871691701,-32.41291547102041,13235.5,1.0
35,93.0,71.94674345308519,-11.279857541125764,-33.25193776558504,13311.5,1.0
36,94.0,72.92163813877929,-11.277043800711283,-33.367776730042614,13385.0,1.0
37,764.0,40.95275838843047,-9.4393485311221,-52.37797355708348,3076.5,0.0
38,765.0,42.20880619771925,-9.44349697408412,-52.239901404724534,3383.0,1.0
39,766.0,43.56043787297642,-9.40143547903022,-50.84209199961766,3690.0,0.0
40,767.0,44.54513174467476,-9.402131054828708,-50.11350978372782,4013.0,0.0
41,768.0,45.52662267745198,-9.567702481563181,-49.37162812773063,4321.0,0.0
42,769.0,49.64073872893445,-9.879939101878108,-70.72355176090383,2137.5,0.0
43,770.0,48.32925145598183,-10.18858979300957,-47.89077817400588,4344.5,0.0
44,771.0,49.44929926301316,-10.289241332429249,-48.40920927483706,4312.0,0.0
45,772.0,52.633992024488904,-12.483849768854022,-33.34145763976361,4362.5,0.0
46,773.0,51.32635047564173,-10.447243442272026,-46.36552991068143,4600.5,0.0
47,774.0,52.22534435455088,-10.498405191124164,-45.93255948218596,4677.0,0.0
48,775.0,53.28805320926253,-10.494098220242499,-46.7832944420666,4440.0,0.0
49,776.0,54.12891585053858,-10.54640866630509,-45.8980786722582,4542.0,0.0
50,777.0,55.02304017248779,-10.59766570202364,-45.43125913020316,4588.5,0.0
51,778.0,55.74368045406935,-10.649970293793729,-44.49109032829758,4760.5,0.0
52,779.0,56.6900104354477,-10.70596248653802,-44.44459844140143,4766.0,0.0
53,780.0,57.36187364605406,-10.704106146083063,-44.684142131297705,4967.5,0.0
54,781.0,58.12207375966869,-10.651832682108711,-43.37156178723361,5027.5,0.0
55,782.0,59.00199341997191,-10.65051932623944,-42.87608768484618,5100.0,0.0
56,783.0,59.94304912391629,-10.648456848194527,-42.78382371543729,5009.5,0.0
57,784.0,60.687879721153614,-10.64872663858078,-41.448455629117504,4967.5,0.0
58,785.0,61.24929825362407,-10.598276127149038,-39.69055270112379,4822.0,0.0
59,786.0,61.91349213952607,-10.496536319781885,-37.98553629078739,4639.5,0.0
60,787.0,62.50529343528713,-10.392141635034001,-35.89428609808207,4355.5,0.0
